127.0.0.1 - - [02/Jul/2022:19:38:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/mypage.jsp HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/css/magnific-popup.css HTTP/1.1" 200 7648
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/fontawesome/css/all.min.css HTTP/1.1" 200 58935
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/js/jquery-3.4.1.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/css/templatemo-ocean-vibes.css HTTP/1.1" 200 11183
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/js/imagesloaded.pkgd.min.js HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/js/isotope.pkgd.min.js HTTP/1.1" 200 40847
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/js/templatemo-script.js HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
0:0:0:0:0:0:0:1 - - [02/Jul/2022:19:38:34 +0900] "GET /app/img/koreaMap2.png HTTP/1.1" 200 44232
